#
#  halomonas_cubes_take2cyc 1.0 Pathways link table generated on Wed Sep 13, 2023
#
PWY0-1319	CDP-diacylglycerol biosynthesis II	
PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	
PWY-5194	siroheme biosynthesis	
PWY-1801	formaldehyde oxidation II (glutathione-dependent)	formaldehyde oxidation II (GSH-dependent)
PHESYN	L-phenylalanine biosynthesis I	
PWY-7639	bis(guanylyl molybdenum cofactor) biosynthesis	bisMGD biosynthesis	bis-MPT guanine dinucleotide cofactor biosynthesis
PWY-6421	arsenate detoxification IV (mycothiol)	arsenate reduction (mycothiol)
PWY-4381	fatty acid biosynthesis initiation (type II)	de novo fatty acid biosynthesis, initial reactions	fatty acid biosynthesis initiation (bacteria and plants)
TYRSYN	L-tyrosine biosynthesis I	
PWY0-1334	NADH to cytochrome <i>bd</i> oxidase electron transfer I	
PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis	
PWY0-1353	succinate to cytochrome <i>bd</i> oxidase electron transfer	
PWY-5137	fatty acid &beta;-oxidation III (unsaturated, odd number)	
PWY-6120	L-tyrosine biosynthesis III	
PWY-7686	L-malate degradation II	(<i>S</i>)--malate degradation II
PWY-7180	2-deoxy-&alpha;-D-ribose 1-phosphate degradation	
PWY-5964	guanylyl molybdenum cofactor biosynthesis	MGD biosynthesis	molybdopterin guanine dinucleotide biosynthesis
PWY0-1568	NADH to cytochrome <i>bd</i> oxidase electron transfer II	
GLUCONEO-PWY	gluconeogenesis I	
HEMESYN2-PWY	heme <i>b</i> biosynthesis II (oxygen-independent)	
PWY-5805	nonaprenyl diphosphate biosynthesis I	solanesyl diphosphate biosynthesis	solanesyl pyrophosphate biosynthesis
ALANINE-SYN2-PWY	L-alanine biosynthesis II	
PWY0-1241	ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis	
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	superpathway of L-leucine, L-valine, and L-isoleucine biosynthesis
ASPARTATESYN-PWY	L-aspartate biosynthesis	L-aspartate biosynthesis and degradation
HEME-BIOSYNTHESIS-II	heme <i>b</i> biosynthesis I (aerobic)	
PWY-7226	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I	
PWY-7227	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis I	
PPGPPMET-PWY	ppGpp metabolism	guanosine 3'-diphosphate 5'-diphosphate biosynthesis	ppGpp biosynthesis
PWY-5329	L-cysteine degradation III	hydrogen sulfide biosynthesis I
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I	HMP-PP biosynthesis
GLYCLEAV-PWY	glycine cleavage	glycine cleavage system	glycine decarboxylase complex	gcv system	glycine cleavage complex
PWY-7971	adenosylcobinamide-GDP salvage from cobinamide I	
THISYN-PWY	superpathway of thiamine diphosphate biosynthesis I	superpathway of thiamine diphosphate biosynthesis (E .coli)	superpathway of vitamin B<sub>1</sub> biosynthesis (E .coli)
PWY-7962	adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide	
PWY-8430	1-(<i>sn</i>-glycero-3-phospho)-1D-myo-inositol biosynthesis	GPI biosynthesis
PWY-7211	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	
PWY-6892	thiazole component of thiamine diphosphate biosynthesis I	(<i>R,Z</i>)-2-(2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene)ethyl phosphate biosynthesis
PROUT-PWY	L-proline degradation I	L-proline utilization
PWY0-1264	biotin-carboxyl carrier protein assembly	BCCP assembly
PANTO-PWY	phosphopantothenate biosynthesis I	vitamin B<sub>5</sub> biosynthesis
PWY-8174	odd <i>iso</i>-branched-chain fatty acid biosynthesis	
PWY-5123	<i>trans, trans</i>-farnesyl diphosphate biosynthesis	FPP biosynthesis
PWY0-1314	fructose degradation	
PWY-5437	L-threonine degradation I	
ANAPHENOXI-PWY	L-phenylalanine degradation II (anaerobic)	anaerobic L-phenylalanine oxidation
PWY0-1554	5-(methoxycarbonylmethoxy)uridine biosynthesis	cmo<sup>5</sup>U34 tRNA biosynthesis	5-oxyacetyluridine biosynthesis	5-(carboxymethoxy)uridine biosynthesis
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	folic acid salvage	folate salvage	THF salvage
2PHENDEG-PWY	phenylethylamine degradation I	
PWY-7356	thiamine diphosphate salvage IV (yeast)	thiamin salvage IV (yeast)
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	
PWY0-1337	oleate &beta;-oxidation	
PWY-8138	polyphosphate metabolism	
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	
PWY-7909	formaldehyde oxidation VII (THF pathway)	
PWY-8247	(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>P. gingivalis</i>)	
PWY0-1573	nitrate reduction VIIIb (dissimilatory)	NADH to nitrate reductase electron transfer
PWY-6123	inosine-5'-phosphate biosynthesis I	IMP biosynthesis I
PWY-6938-1	NADH repair (prokaryotes)	
PWY-8136	NADPH repair (prokaryotes)	
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	2-dehydro-D-gluconate pyruvate catabolism	2-dehydro-D-gluconate pyruvate degradation	2-dehydro-D-gluconate degradation
GLYOXDEG-PWY	glycolate and glyoxylate degradation II	glyoxylate degradation
PWY-8101	arsenate detoxification II	
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	
PWY-8168	<i>bis</i>(guanylyl tungstenpterin) cofactor biosynthesis	
PWY0-381	glycerol and glycerophosphodiester degradation	
PWY-5705	allantoin degradation to glyoxylate III	
PWY-6630	superpathway of L-tyrosine biosynthesis	
PWY0-1587	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	
PWY-6703	preQ<sub>0</sub> biosynthesis	deazapurine biosynthesis	7-cyano-7-deazaguanine biosynthesis	7-cyano-7-carbaguanine biosynthesis
PWY-6526	limonene degradation III (to perillate)	
PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis	[Fe-S] cluster biosynthesis	[2Fe-2S] cluster biosynthesis
PWY-7224	purine deoxyribonucleosides salvage	
PWY-7980	ATP biosynthesis	
PWY-6932	selenate reduction	selenium metabolism	selenium assimilation
SERSYN-PWY	L-serine biosynthesis I	
PWY-5951	(<i>R,R</i>)-butanediol biosynthesis	(<i>R,R</i>)-butylene glycol fermentation	(<i>R,R</i>)-butanediol fermentation	(R,R)-2,3-butanediol biosynthesis
PWY-7874	L-threonate degradation	
PWY-6458	benzoyl-CoA biosynthesis	benzoyl-coenzyme A biosynthesis
SALVPURINE2-PWY	xanthine and xanthosine salvage	
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	anaerobic glycolysis	Embden-Meyerhof-Parnas pathway	EMP pathway	glycolysis III (glucokinase)
PWY0-862	(5Z)-dodecenoate biosynthesis I	(5Z)-dodec-5-enoate biosynthesis I	<i>cis</i>-dodecenoate biosynthesis I
P641-PWY	phenylmercury acetate degradation	
PWY3O-246	(R,R)-butanediol degradation	(R,R)-butylene-glycol degradation
PWY-5695	inosine 5'-phosphate degradation	IMP degradation	urate biosynthesis
PWY-6617	adenosine nucleotides degradation III	adenosine ribonucleotide/ribonucleoside metabolism
PWY-6268	adenosylcobalamin salvage from cobalamin	vitamin B<sub>12</sub> biosynthesis
PWY0-1581	nitrate reduction IX (dissimilatory)	glycerol-3-phosphate to nitrate electron transfer
PWY-8029	limonene degradation IV (anaerobic)	
CYANCAT-PWY	cyanate degradation	cyanate catabolism
PWY-7663	gondoate biosynthesis (anaerobic)	<i>cis</i>-11-icosenoate biosynthesis	(11<i>Z</i>)-icos-11-enoate biosynthesis	(11<i>Z</i>)-icosenoate biosynthesis	gondoic acid biosynthesis	11-eicosenoic acid biosynthesis
PWY1-2	L-alanine degradation IV	
PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	
NADPHOS-DEPHOS-PWY-1	NAD phosphorylation and transhydrogenation	
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	riboflavin, FMN and FAD biosynthesis	vitamin B<sub>2</sub> biosynthesis
PWY-5340	sulfate activation for sulfonation	sulfation pathway
PWY4FS-7	phosphatidylglycerol biosynthesis I	
PWY-7892	tRNA-uridine 2-thiolation and selenation (bacteria)	
PWY-6348	phosphate acquisition	
PWY-7183	pyrimidine nucleobases salvage I	uracil salvage
PWY-6612	superpathway of tetrahydrofolate biosynthesis	folic acid biosynthesis	folate biosynthesis	THF biosynthesis
ARGDEG-III-PWY	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	
ILEUDEG-PWY	L-isoleucine degradation I	
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	superpathway of L-phenylalanine, L-tyrosine, and L-tryptophan biosynthesis
PWY-5704	urea degradation II	urea assimilation
FAO-PWY	fatty acid &beta;-oxidation I (generic)	
PWY-43	putrescine biosynthesis II	
PWY-7052	cyanophycin metabolism	
PWY-8148	NADP biosynthesis	
PWY-7873	D-erythronate degradation II	
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA I	pyruvate dehydrogenase complex	acetyl-CoA biosynthesis I (pyruvate dehydrogenase complex)	pyruvic acid decarboxylation to acetyl CoA	pyruvate dehydrogenase system
CITRULLINE-DEG-PWY	L-citrulline degradation	
SO4ASSIM-PWY	assimilatory sulfate reduction I	
PWY-5417	catechol degradation III (ortho-cleavage pathway)	&beta;-ketoadipate pathway
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	
HSERMETANA-PWY	L-methionine biosynthesis III	L-methionine biosynthesis by sulfhydrylation
PWY-7462	3,3'-disulfanediyldipropannoate degradation	3,3'-dithiodipropionate degradation	3,3'-dithiodipropanoate degradation
PWY0-162	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	pyrimidine biosynthesis
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	
GLYSYN-THR-PWY	glycine biosynthesis IV	
PWY0-1299	arginine dependent acid resistance	
PENTOSE-P-PWY	pentose phosphate pathway	pentose shunt	hexose monophosphate shunt	phosphogluconate pathway	superpathway of oxidative and non-oxidative branches of pentose phosphate pathway
PWY-7228	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I	
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	purine ribonucleotide/ribonucleoside metabolism
GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I	glucosamine degradation	N-acetyl-glucosamine degradation
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	catechol degradation, ortho-cleavage
PROSYN-PWY	L-proline biosynthesis I (from L-glutamate)	
PWY0-541	cyclopropane fatty acid (CFA) biosynthesis	
PWY-5675	nitrate reduction V (assimilatory)	nitrate assimilation
PWY-5698	allantoin degradation to ureidoglycolate II (ammonia producing)	
PWY-8180	acrylate degradation II	
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I	vitamin B<sub>6</sub> biosynthesis	deoxyxylulose-dependent pyridoxal 5'-phosphate biosynthesis
P121-PWY	adenine and adenosine salvage I	purine salvage	salvage pathway of adenosine nucleosides	adenosine nucleosides salvage I
PWY-6609	adenine and adenosine salvage III	adenosine nucleotides salvage III
TCA-GLYOX-BYPASS	superpathway of glyoxylate bypass and TCA	
BETSYN-PWY	glycine betaine biosynthesis I (Gram-negative bacteria)	
PWY-1881	formate oxidation to CO<sub>2</sub>	
DTDPRHAMSYN-PWY	dTDP-&beta;-L-rhamnose biosynthesis	
VALSYN-PWY	L-valine biosynthesis	
XYLCAT-PWY	D-xylose degradation I	D-xylose catabolism
PWY-6536	4-aminobutanoate degradation III	&gamma;-amino-butyrate shunt	GABA degradation	4-aminobutyrate degradation III	4-aminobutanoic acid degradation III
PWY-5686	UMP biosynthesis I	uridine-5'-phosphate biosynthesis I	<i>de novo</i> biosynthesis of uridine-5'-phosphate I	<i>de novo</i> biosynthesis of uridine-5'-monophosphate I
ASPARTATE-DEG1-PWY	L-aspartate degradation I	
CHOLINE-BETAINE-ANA-PWY	choline degradation I	choline betaine anabolism
PWY4FS-8	phosphatidylglycerol biosynthesis II	
ACETATEUTIL-PWY	superpathway of acetate utilization and formation	superpathway of acetic acid utilization and formation
COBALSYN-PWY	superpathway of adenosylcobalamin salvage from cobinamide I	
P562-PWY	<I>myo</I>-inositol degradation I	
FORMASS-PWY	formaldehyde oxidation IV (thiol-independent)	
GALACTARDEG-PWY	D-galactarate degradation I	D-galactarate catabolism
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	arginine degradation to spermidine	spermidine biosynthesis
PWY0-1021	L-alanine biosynthesis III	
PWY-5485	pyruvate fermentation to acetate IV	pyruvic acid fermentation to acetic acid IV
PWY-6608	guanosine nucleotides degradation III	
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I	
THRESYN-PWY	superpathway of L-threonine biosynthesis	
PWY-3621	&gamma;-butyrobetaine degradation II	
PWY0-42	2-methylcitrate cycle I	
PWY-5656	mannosylglycerate biosynthesis I	
PWY-7176	UTP and CTP <i>de novo</i> biosynthesis	
PWY-6620	guanine and guanosine salvage I	
PWY-1001	cellulose biosynthesis	
4AMINOBUTMETAB-PWY	superpathway of 4-aminobutanoate degradation	&gamma;-amino-butyrate shunt	GABA degradation
PWY-2301	<i>myo</i>-inositol biosynthesis	
PWY-6686	mannosylglucosylglycerate biosynthesis I	
GLUCARDEG-PWY	<i>D</i>-glucarate degradation I	<i>D</i>-glucarate catabolism
GLUTAMINDEG-PWY	L-glutamine degradation I	
PWY-6012-1	acyl carrier protein activation	[acp] metabolism	ACP metabolism
PWY-7664	oleate biosynthesis IV (anaerobic)	<i>cis</i>-7-hexadecenoate biosynthesis	<i>cis</i>-9-octadecenoate biosynthesis	(7<i>Z</i>)-hexadec-7-enoate biosynthesis	(9<i>Z</i>)-octadec-9-enoate biosynthesis	(7<i>Z</i>)-hexadecenoate biosynthesis	(9<i>Z</i>)-octadecenoate biosynthesis
HISTSYN-PWY	L-histidine biosynthesis	
PWY-6629	superpathway of L-tryptophan biosynthesis	
PWY-3602	L-carnitine degradation III	
PWY-6012	acyl carrier protein metabolism	[acp] metabolism	ACP metabolism
PWY-7431	aromatic biogenic amine degradation (bacteria)	
PWY-7855	ectoine degradation	
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	
PWY-3941	&beta;-alanine biosynthesis II	&beta;-alanine biosynthesis from proprionate
PWY-5350	thiosulfate disproportionation IV (rhodanese)	
PWY0-1303	aminopropylcadaverine biosynthesis	
AMMASSIM-PWY	ammonia assimilation cycle III	ammonia assimilation III	GS/GOGAT pathway
PWY0-1597	prenylated FMNH<sub>2</sub> biosynthesis	
PWY-7968	5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	
ARO-PWY	chorismate biosynthesis I	aromatic amino acid biosynthesis	shikimate pathway
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	
PWY-7574	propanoyl-CoA degradation II	propionyl-CoA degradation II
PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)	L-asparaginyl-tRNA<sup>asn</sup> biosynthesis via transamidation
PWY-7801	N-end rule pathway I (prokaryotic)	
PWY-8284	Kdo transfer to lipid IV<sub>A</sub> (generic)	
PWY-6373	acrylate degradation I	
PWY-8072	alanine racemization	
GLUTSYN-PWY	L-glutamate biosynthesis I	
PWY-5989	stearate biosynthesis II (bacteria and plants)	stearic acid biosynthesis
