G2R0Y-5156-MONOMER	G2R0Y-5156		RNA polymerase sigma factor RpoD	
G2R0Y-5157-MONOMER	G2R0Y-5157		DNA primase DnaG	
G2R0Y-5158-MONOMER	G2R0Y-5158		DNA primase DnaG	
G2R0Y-5159-MONOMER	G2R0Y-5159		SSU ribosomal protein S21p	
G2R0Y-5160-MONOMER	G2R0Y-5160		SSU ribosomal protein S21p	
G2R0Y-5161-MONOMER	G2R0Y-5161		N(6)-L-threonylcarbamoyladenine synthase	
G2R0Y-5162-MONOMER	G2R0Y-5162		N(6)-L-threonylcarbamoyladenine synthase	
G2R0Y-5163-MONOMER	G2R0Y-5163		Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY	
G2R0Y-5164-MONOMER	G2R0Y-5164		Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY	
G2R0Y-5165-MONOMER	G2R0Y-5165		Dihydroneopterin aldolase	
G2R0Y-5166-MONOMER	G2R0Y-5166		Dihydroneopterin aldolase	
G2R0Y-5167-MONOMER	G2R0Y-5167		2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	
G2R0Y-5168-MONOMER	G2R0Y-5168		2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	
G2R0Y-5169-MONOMER	G2R0Y-5169		CCA tRNA nucleotidyltransferase	
G2R0Y-5170-MONOMER	G2R0Y-5170		CCA tRNA nucleotidyltransferase	
G2R0Y-5171-MONOMER	G2R0Y-5171		Bis(5'-nucleosyl)-tetraphosphatase, symmetrical	
G2R0Y-5172-MONOMER	G2R0Y-5172		Bis(5'-nucleosyl)-tetraphosphatase, symmetrical	
G2R0Y-5173-MONOMER	G2R0Y-5173		ApaG protein	
G2R0Y-5174-MONOMER	G2R0Y-5174		ApaG protein	
G2R0Y-5175-MONOMER	G2R0Y-5175		SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase	
G2R0Y-5176-MONOMER	G2R0Y-5176		SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase	
G2R0Y-5177-MONOMER	G2R0Y-5177		4-hydroxythreonine-4-phosphate dehydrogenase	
G2R0Y-5178-MONOMER	G2R0Y-5178		4-hydroxythreonine-4-phosphate dehydrogenase	
CPLX2R0Y-19			Arginine/ornithine ABC transporter	
G2R0Y-5179-MONOMER	G2R0Y-5179		Periplasmic chaperone and peptidyl-prolyl cis-trans isomerase of outer membrane proteins SurA	
G2R0Y-5180-MONOMER	G2R0Y-5180		Periplasmic chaperone and peptidyl-prolyl cis-trans isomerase of outer membrane proteins SurA	
G2R0Y-5181-MONOMER	G2R0Y-5181		LPS-assembly protein LptD; Organic solvent tolerance protein precursor	
G2R0Y-5182-MONOMER	G2R0Y-5182		LPS-assembly protein LptD; Organic solvent tolerance protein precursor	
G2R0Y-5183-MONOMER	G2R0Y-5183		Phosphotransferase involved in threonylcarbamoyladenosine t(6)A37 formation in tRNA	
