#
#  halomonas_cubes_take2cyc 1.0 Reactions link table generated on Wed Sep 13, 2023
#
RXN-14047	EC-4.2.1.3
RXN-17919	
ACONITATEDEHYDR-RXN	
ACONITATEHYDR-RXN	
RXN-10659	EC-1.1.1.100
RXN-21614	EC-1.1.1.100
BETA-PHOSPHOGLUCOMUTASE-RXN	EC-5.4.2.6
RXN0-5144	EC-2.1.1.61
RXN-16995	
RXN-21631	EC-1.1.1.100
RXN-16996	
RXN-14957	EC-2.8.1.8
RXN-14394	EC-2.3.1.16
RXN-14959	EC-2.8.1.8
1.1.1.39-RXN	EC-1.1.1.38
RXN-9514	EC-1.1.1.100
MALATE-DEH-RXN	EC-1.1.1.37
RXN-14950	EC-2.8.1.8
OXALODECARB-RXN	EC-4.1.1.112
RXN-10655	EC-1.1.1.100
RXN-14473	EC-3.1.3.2
METHYLACETOACETYLCOATHIOL-RXN	EC-2.3.1.16
ACID-PHOSPHATASE-RXN	EC-3.1.3.2
RXN0-2142	EC-1.1.1.100
RXN-21650	EC-1.1.1.100
TRIPHOSPHATASE-RXN	EC-3.6.1.25
FAD-PYROPHOSPHATASE-RXN	EC-3.6.1.18
RXN-21670	EC-1.1.1.100
RXN-9518	EC-1.1.1.100
RXN0-961	
RXN-13037	EC-2.3.1.181
RXN0-5228	EC-5.1.1.20
RXN0-947	EC-2.3.1.181
GMP-SYN-GLUT-RXN	EC-6.3.5.2
RXN-9524	EC-1.1.1.100
GMP-SYN-NH3-RXN	
TRANS-RXN2R0Y-5	
TRANS-RXN0-222	EC-7.4.2.1
3-OXOACYL-ACP-REDUCT-RXN	EC-1.1.1.100
3.6.3.21-RXN	EC-7.4.2.1
ABC-14-RXN	EC-7.4.2.1
RXN-9540	EC-1.1.1.100
TRANS-RXN-242B	EC-7.3.2.6
ABC-4-RXN	EC-7.4.2.1
ABC-12-RXN	EC-7.4.2.1
GLUCONOKIN-RXN	EC-2.7.1.12
ABC-37-RXN	EC-7.4.2.1
RXN-19547	EC-4.4.1.13
RXN-19546	
ABC-3-RXN	EC-7.4.2.1
ABC-13-RXN	EC-7.4.2.1
ADENYLATECYC-RXN	EC-4.6.1.1
RXN2R0Y-7	
RXN0-1281	EC-1.1.1
GLUTAMATE-SYNTHASE-FERREDOXIN-RXN	EC-1.4.7.1
RXN-20153	EC-2.3.1.16
RXN0-6259	EC-1.3.5.3
RXN-12878	
RXN-20150	
RXN-16330	
RXN-20152	
RXN0-5419	
RXN-6763	EC-4.4.1.13
RXN-15582	
RXN-19583	EC-4.4.1.13
RXN-19584	
RXN-16630	EC-1.1.1.100
RXN-17782	EC-2.3.1.16
RXN-9536	EC-1.1.1.100
RXN0-4223	EC-3.1.13
RXN-14274	EC-2.3.1.16
RXN-19341	
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.24
RXN-19550	EC-4.4.1.13
SUCCSEMIALDDEHYDROG-RXN	EC-1.2.1.79
RXN-19548	
RXN-9528	EC-1.1.1.100
RXN-11592	EC-2.1.1.177
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN	EC-4.2.1.55
RXN-21626	EC-1.1.1.100
RXN-19556	EC-4.4.1.13
RXN-19555	
RXN-11480	EC-1.1.1.100
NICONUCADENYLYLTRAN-RXN	EC-2.7.7.18
3-HYDROXYPROPIONATE-DEHYDROGENASE-RXN	EC-1.1.1.59
RXN-16626	EC-1.1.1.100
RXN-18212	EC-4.4.1.13
RXN-23658	EC-3.1.3
GLUTSEMIALDEHYDROG-RXN	EC-1.2.1.41
RIBOPHOSPHAT-RXN	EC-3.1.3.104
RXN-19582	
RXN-11880	EC-3.1.3
3.4.13.9-RXN	EC-3.4.13.9
RXN-19560	EC-4.4.1.13
KETOACYLCOATHIOL-RXN	EC-2.3.1.16
RXN-19559	
RR-BUTANEDIOL-DEHYDROGENASE-RXN	EC-1.1.1.4
RXN-21665	EC-1.1.1.100
RXN-21622	EC-1.1.1.100
RXN-19554	EC-4.4.1.13
RXN-23655	EC-3.1.3
