# Description of Fields in this File
# ==================================
#  
# Pathway Name: a user friendly name of the pathway.
# Pathway Frame-id: a unique identifier of the pathway in the PGDB.
# Pathway Class Name: a user friendly name of a class that contains the pathway.
# Pathway Class Frame-id: a unique identifier of the Class Name in the PGDB.
# Pathway Score: A number from 0-1.0 indicating the strength of the evidence supporting the inference of this pathway, where 1.0 means very strong evidence.
# Pathway Frequency Score: the sum of the number of enzymes in the PGDB catalyzing the reactions of the pathway divided by the number of reactions in the pathway. This value can be larger than 1 since there might be several enzymes catalyzing the same reaction.
# Pathway Abundance: the abundance of the pathway given the abundance values of the genes for this pathway in the annotation file.
# Reason to Keep: a keyword describing the reason the pathway was kept.
# Pathway URL: the pathway URL for the Biocyc.org Web site.
#  
# The pathways in this file are sorted by Pathway Score.


Pathway Name | Pathway Frame-id | Pathway Class Name | Pathway Class Frame-id | Pathway Score | Pathway Frequency Score | Pathway Abundance | Reason to Keep | Pathway URL

(Kdo)2-lipid A biosynthesis (P. gingivalis)|PWY-8247|Kdo-lipid A biosynthesis|Kdo-lipid-A-Biosynthesis|0.14666668|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8247
D-arabinitol degradation I|DARABITOLUTIL-PWY|D-arabinitol Degradation|D-Arabinitol-Degradation|0.16098094|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=DARABITOLUTIL-PWY
thiamine diphosphate salvage I|PWY-6896|||0.16098094|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6896
D-xylose degradation I|XYLCAT-PWY|D-xylose Degradation|Xylose-Degradation|0.16098094|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=XYLCAT-PWY
indole-3-acetate biosynthesis IV (bacteria)|PWY-5025|Auxin Biosynthesis|Auxin-Biosynthesis|0.16098094|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5025
phospholipases|LIPASYN-PWY|||0.16925554|0.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=LIPASYN-PWY
L-phenylalanine degradation II (anaerobic)|ANAPHENOXI-PWY|L-phenylalanine Degradation|PHENYLALANINE-DEG|0.17138927|4.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=ANAPHENOXI-PWY
cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)|PWY-7377|cob(II)yrinate a,c-diamide biosynthesis|Cobyrinate-diamide-Biosynthesis|0.1738355|0.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7377
[2Fe-2S] iron-sulfur cluster biosynthesis|PWY-7250|||0.17600001|0.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7250
(Kdo)2-lipid A biosynthesis (P. putida)|PWY-8075|Kdo-lipid A biosynthesis|Kdo-lipid-A-Biosynthesis|0.17600001|0.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8075
L-threonine degradation I|PWY-5437|L-threonine Degradation|THREONINE-DEG|0.17641555|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5437
L-arginine degradation I (arginase pathway)|ARGASEDEG-PWY|L-arginine Degradation|ARGININE-DEG|0.1887032|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=ARGASEDEG-PWY
NAD salvage pathway I (PNC VI cycle)|PYRIDNUCSAL-PWY|NAD Biosynthesis|NAD-SYN|0.19843395|1.7142857|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PYRIDNUCSAL-PWY
pentose phosphate pathway (oxidative branch) I|OXIDATIVEPENT-PWY|||0.20149505|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=OXIDATIVEPENT-PWY
NAD salvage pathway IV (from nicotinamide riboside)|PWY3O-4106|NAD Biosynthesis|NAD-SYN|0.21156943|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY3O-4106
ethylene glycol degradation|PWY0-1280|||0.21156943|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1280
trans-caffeate degradation (aerobic)|PWY-8003|||0.21156943|0.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8003
guanine and guanosine salvage II|PWY-6599|Guanine and Guanosine Salvage|Guanine-Guanosine-Salvage|0.21156943|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6599
4-aminobenzoate biosynthesis II|PWY-8276|4-Aminobenzoate Biosynthesis|4-Aminobenzoate-Biosynthesis|0.21156943|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8276
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|PWY-6147|6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis|6-HM-Dihydropterin-PP-Biosynthesis|0.2128913|2.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6147
glucose and glucose-1-phosphate degradation|GLUCOSE1PMETAB-PWY|||0.21854277|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUCOSE1PMETAB-PWY
carbazole degradation|PWY-6550|||0.22000001|0.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6550
3,3'-disulfanediyldipropannoate degradation|PWY-7462|||0.22000001|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7462
selenate reduction|PWY-6932|||0.22000001|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6932
D-altritol and galactitol degradation|PWY-7862|||0.22000001|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7862
4-sulfocatechol degradation|PWY-6041|||0.22000001|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6041
muropeptide degradation|PWY0-1546|||0.22000001|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1546
4-coumarate degradation (aerobic)|PWY-8002|||0.2247266|0.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8002
L-glutamine degradation I|GLUTAMINDEG-PWY|L-glutamine Degradation|GLUTAMINE-DEG|0.22484821|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTAMINDEG-PWY
acetate and ATP formation from acetyl-CoA I|PWY0-1312|||0.2279313|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1312
glycine biosynthesis I|GLYSYN-PWY|Glycine Biosynthesis|GLYCINE-SYN|0.22843026|4.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYSYN-PWY
3-(4-hydroxyphenyl)pyruvate biosynthesis|PWY-5886|||0.23119894|6.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5886
UTP and CTP dephosphorylation I|PWY-7185|UTP and CTP Dephosphorylation|UTP-CTP-Dephosphorylation|0.23215725|0.85714287|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7185
L-carnitine degradation III|PWY-3602|L-Carnitine Degradation|CARN-DEG|0.23271297|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3602
geranyl diphosphate biosynthesis|PWY-5122|||0.23316875|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5122
acetate conversion to acetyl-CoA|PWY0-1313|||0.2392438|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1313
acetate and ATP formation from acetyl-CoA III|PWY-8328|||0.2392438|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8328
4-hydroxybenzoate biosynthesis II (bacteria)|PWY-5755|4-Hydroxybenzoate Biosynthesis|4-Hydroxybenzoate-Biosynthesis|0.2392438|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5755
tRNA-uridine 2-thiolation and selenation (bacteria)|PWY-7892|||0.24000001|0.72727275|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7892
propanoyl-CoA degradation II|PWY-7574|||0.24028942|2.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7574
(2S)-ethylmalonyl-CoA biosynthesis|PWY-8425|||0.24220781|3.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8425
UDP-alpha-D-glucose biosynthesis|PWY-7343|||0.24360389|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7343
L-aspartate degradation I|ASPARTATE-DEG1-PWY|L-aspartate Degradation|ASPARTATE-DEG|0.24414779|8.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ASPARTATE-DEG1-PWY
L-aspartate biosynthesis|ASPARTATESYN-PWY|L-aspartate Biosynthesis|ASPARTATE-SYN|0.24414779|8.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ASPARTATESYN-PWY
D-galactarate degradation I|GALACTARDEG-PWY|D-Galactarate Degradation|D-Galactarate-Degradation|0.24608614|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=GALACTARDEG-PWY
D-glucarate degradation I|GLUCARDEG-PWY|D-Glucarate Degradation|D-Glucarate-Degradation|0.24608614|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUCARDEG-PWY
CDP-diacylglycerol biosynthesis II|PWY0-1319|CDP-diacylglycerol Biosynthesis|CDP-diacylglycerol-Biosynthesis|0.24704638|1.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1319
CDP-diacylglycerol biosynthesis I|PWY-5667|CDP-diacylglycerol Biosynthesis|CDP-diacylglycerol-Biosynthesis|0.24704638|1.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5667
adipate degradation|PWY-8354|||0.25019413|2.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8354
adipate biosynthesis|PWY-8347|||0.2501942|2.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8347
L-isoleucine degradation I|ILEUDEG-PWY|L-isoleucine Degradation|ISOLEUCINE-DEG|0.2508614|2.3333333|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=ILEUDEG-PWY
NADP biosynthesis|PWY-8148|||0.25138244|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8148
arginine dependent acid resistance|PWY0-1299|||0.25138244|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1299
L-glutamate degradation I|GLUTAMATE-DEG1-PWY|L-glutamate Degradation|GLUTAMATE-DEG|0.25138244|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTAMATE-DEG1-PWY
L-alanine biosynthesis II|ALANINE-SYN2-PWY|L-alanine Biosynthesis|ALANINE-SYN|0.25138244|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ALANINE-SYN2-PWY
limonene degradation IV (anaerobic)|PWY-8029|||0.25142857|1.7142857|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8029
L-glutamate biosynthesis I|GLUTSYN-PWY|L-glutamate Biosynthesis|GLUTAMATE-SYN|0.25368574|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTSYN-PWY
purine deoxyribonucleosides salvage|PWY-7224|||0.2539873|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7224
thiazole component of thiamine diphosphate biosynthesis I|PWY-6892|Thiazole Biosynthesis|Thiazole-Biosynthesis|0.26098737|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6892
ubiquinol-8 biosynthesis (late decarboxylation)|PWY-5870|||0.2616598|1.5555556|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5870
L-serine degradation|SERDEG-PWY|||0.26278535|0.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=SERDEG-PWY
UDP-alpha-D-galactose biosynthesis|PWY-7344|||0.26278535|4.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7344
formate oxidation to CO2|PWY-1881|||0.26278535|6.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-1881
L-malate degradation II|PWY-7686|(S)-Malate Degradation|L-Malate-Degradation|0.26278535|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7686
adenine and adenosine salvage I|P121-PWY|Adenine and Adenosine Salvage|Adenine-Adenosine-Salvage|0.26278535|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=P121-PWY
4-aminobutanoate degradation II|PWY-6537|4-Aminobutanoate Degradation|4-Aminobutyraye-Degradation|0.26278535|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6537
glycolate and glyoxylate degradation II|GLYOXDEG-PWY|Glycolate Degradation|Glycolate-Degradation|0.26278535|4.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYOXDEG-PWY
dTDP-beta-L-rhamnose biosynthesis|DTDPRHAMSYN-PWY|||0.26569515|1.6|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=DTDPRHAMSYN-PWY
glutaminyl-tRNAgln biosynthesis via transamidation|PWY-5921|||0.2677815|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5921
aromatic biogenic amine degradation (bacteria)|PWY-7431|||0.26867706|1.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7431
beta-alanine biosynthesis II|PWY-3941|beta Alanine Biosynthesis|Beta-Alanine-Biosynthesis|0.27076432|1.6666666|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3941
D-galactose degradation I (Leloir pathway)|PWY-6317|Galactose Degradation|GALACTOSE-DEGRADATION|0.27344158|2.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6317
